1st,2nd,3rd,4th,5th,count
219469,219978,217796,217572,Null,247
217572,219469,219978,218127,217796,247
219978,219469,217605,218127,221183,246
217572,219469,218127,217796,221183,246
217572,219469,217796,219978,218491,246
217572,219469,219978,217796,Null,245
219469,218491,217605,219978,221141,244
219978,217605,219469,218491,221183,244
219469,219978,221183,217605,217572,243
219469,218491,221183,217605,219978,242
217572,219978,219469,217796,217605,242
218127,219978,217796,Null,Null,241
219469,219978,217605,218491,221141,241
217572,219469,217796,219978,Null,241
217572,219469,218127,217605,219978,240
218491,219469,218117,Null,Null,240
219469,218491,219978,217605,217572,240
217572,217796,219469,217605,219978,240
217572,219469,217796,218127,217605,239
219978,219469,217572,217605,221183,239
217572,218491,217796,Null,Null,238
219978,217572,217605,218127,221183,238
219469,218491,219978,217796,Null,238
219978,217796,217572,217605,Null,238
217572,218491,219469,Null,Null,238
219978,217796,217572,219469,217605,238
219978,217605,221183,218127,217796,237
217572,219978,218127,221183,217796,237
218127,219978,217572,217796,Null,237
217572,219469,217796,219978,221183,237
219978,219469,218491,217605,217572,236
217572,219469,219978,218127,221183,236
217572,218127,219469,219978,221183,236
219978,217572,217796,219469,Null,235
217572,218127,219469,221183,Null,235
219469,219978,218491,218922,Null,235
219978,219469,218117,Null,Null,235
217796,217572,219978,217605,Null,234
219978,217572,219469,217796,Null,234
217572,219469,221183,219978,217796,234
219978,219469,217572,221183,217796,234
219469,218491,219978,221141,218117,233
219978,217605,221183,217572,Null,232
217572,217654,Null,Null,Null,232
219469,219978,218491,217572,217796,231
217572,217796,219978,219469,218491,231
219469,219978,217572,217796,217605,230
219978,217605,219469,217796,217572,230
219978,218127,217796,217572,Null,230
219469,219978,217605,217796,217572,230
217572,219469,217605,221183,Null,229
217572,217605,219469,221183,218127,229
217572,219469,219978,217796,221183,229
217572,218127,219469,219978,217796,229
219469,217605,218491,219978,217572,229
217572,217796,219978,217605,219469,228
219978,217572,218127,221183,217605,228
219978,218127,217572,221183,217796,227
219978,217605,219469,218127,221183,226
219469,218127,217572,Null,Null,226
217572,219978,217605,221183,218127,226
217572,219469,219978,221183,217605,226
219978,219469,221183,217605,218127,226
217572,217796,219978,217605,218127,225
217572,219469,221183,218127,219978,225
219978,217796,217572,217605,221183,225
219978,221183,219469,217605,Null,224
219978,217572,217796,217605,219469,224
219469,217605,218491,218117,Null,224
219978,217605,217572,221183,217796,224
217572,218127,219469,221183,219978,224
217572,219469,219978,217605,221183,223
218127,217796,219978,Null,Null,223
217572,217796,219469,219978,221183,222
217572,219469,217605,221183,219978,221
219469,218491,221141,218117,Null,221
217572,219469,221183,217796,Null,221
217572,219469,218127,217796,Null,221
217572,219469,217605,217796,Null,220
219978,217572,217796,221183,218127,220
219469,219978,218491,221183,218117,219
219469,219978,217605,218117,Null,219
219978,217572,217605,221183,Null,219
218127,218491,Null,Null,Null,219
217572,219978,217796,217605,219469,219
219469,218491,219978,218922,Null,218
217605,218491,Null,Null,Null,218
218127,217796,217572,Null,Null,218
217572,219469,218127,217605,Null,217
219469,219978,217605,221183,218127,217
219978,217605,221183,217796,217572,217
217572,219978,217796,221183,218127,217
219978,221183,217605,219469,217796,217
217572,219469,218127,219978,217605,217
219978,219469,221183,218491,217605,216
217572,219469,219978,221183,218127,216
219978,217572,219469,217605,217796,216
219978,219469,221183,217796,217605,216
219978,217605,221183,217796,219469,216
219978,217605,217572,219469,221183,216
219978,219469,217605,217572,218491,216
219978,218127,217572,217796,221183,215
217572,219469,217796,218127,221183,215
217572,217605,219469,219978,217796,215
217572,218127,219469,217605,217796,214
217572,219978,217796,221183,217605,214
219978,217796,217572,217605,219469,214
217572,219978,218127,217605,221183,213
219978,217572,218127,217796,217605,213
219469,219978,221183,218491,217796,213
219978,217572,217796,217605,218127,213
219469,218491,221183,219978,Null,212
219978,217796,217605,217572,Null,212
219978,217605,218127,221183,217796,212
217572,219978,218127,217796,221183,212
219978,217572,218127,221183,Null,212
219469,218491,217605,221183,Null,212
217572,218127,219469,217796,217605,212
219978,219469,221183,218491,Null,211
219978,221183,217605,217796,Null,211
219469,219978,217605,217796,218491,211
219469,219978,217572,221183,217796,211
219469,217605,219978,221183,217796,211
219978,217605,217572,221183,219469,211
219978,219469,221183,217572,Null,210
219978,219469,218491,221183,Null,210
219469,218491,219978,217572,217796,209
219978,217796,221183,217605,Null,209
218491,217796,Null,Null,Null,209
217572,219469,217796,221183,219978,209
217605,219469,219978,221183,Null,209
219469,218491,217605,218117,219978,209
219978,217796,217572,218127,217605,209
219978,221183,217605,218127,Null,209
219978,218127,221183,217605,Null,209
219978,219469,217796,217605,217572,209
219469,219978,221183,217796,Null,209
217572,219469,217796,221183,217605,208
217572,219978,217605,217796,219469,208
217605,219978,221183,219469,Null,208
218127,217572,219469,Null,Null,208
217796,219978,217572,217605,Null,208
217796,217572,217605,219978,Null,207
217572,219469,219978,217796,218491,207
219978,217605,219469,217796,221183,206
219978,219469,221183,218127,Null,205
219978,219469,218491,217796,Null,205
217572,219978,217605,217796,Null,205
217572,219978,217605,219469,217796,205
217572,219469,218127,217605,218491,205
219978,219469,217605,217796,218491,204
217572,219978,219469,217605,221183,204
217572,221183,218127,219469,217605,204
219469,218491,219978,217572,Null,204
219978,219469,217796,217605,221183,204
219978,221183,219469,217605,217796,203
219978,217605,218127,221183,217572,203
217572,221183,217605,218127,219469,203
217796,217654,Null,Null,Null,203
219978,217572,221183,217796,217605,203
217572,218127,221183,219469,217605,203
219469,219978,218491,221141,Null,203
219469,219978,218491,221183,217572,203
217605,219978,218127,Null,Null,202
219469,221183,218491,Null,Null,202
219978,221183,217605,219469,217572,201
219978,217572,221183,217796,Null,201
219978,217572,221183,218127,217796,201
219469,217572,217796,219978,217605,201
219978,217572,217605,217796,221183,200
219978,217605,221183,218127,217572,200
219978,217605,217796,217572,Null,200
217572,219978,217605,218127,221183,200
219978,217605,219469,218491,Null,200
217572,219978,219469,217796,Null,200
219469,219978,218491,218922,218117,199
219469,219978,217572,217796,218491,199
219978,217796,217605,221183,218127,199
219978,217572,221183,218127,217605,198
217796,217572,221183,Null,Null,198
219978,217572,219469,217796,217605,198
217796,217572,219978,218127,221183,198
219978,219469,217572,217796,218491,197
217605,219469,221183,Null,Null,197
217572,219469,221183,217605,Null,197
217796,218127,219978,217572,Null,196
219978,217796,217605,218127,221183,196
219978,217605,221183,217572,219469,196
217572,219469,221183,219978,218127,196
219978,217796,218491,Null,Null,196
217572,219469,217796,217605,Null,196
219978,217572,218127,217605,221183,196
218127,217572,217796,219978,Null,195
219978,219469,217572,221183,217605,195
219978,217572,217605,219469,217796,195
217572,217796,219978,219469,Null,195
219978,217796,218127,221183,217572,194
217796,217572,221141,Null,Null,194
217572,219469,218127,221183,218922,194
219469,221183,217572,Null,Null,194
219978,218127,217605,221183,Null,194
217605,218127,Null,Null,Null,194
219978,217605,217572,217796,219469,193
219978,217796,217572,219469,Null,193
219469,217572,219978,217796,Null,193
217572,217605,219469,221183,217796,193
217572,218127,219469,217796,219978,193
217572,217605,219469,219978,221183,193
219978,219469,221183,218127,217796,192
217796,219978,217572,217605,221183,192
219978,217605,217796,219469,Null,192
219469,218491,218922,Null,Null,192
219978,217796,219469,217605,Null,192
219978,219469,221183,218127,217605,191
217572,218127,221183,217605,219469,191
219978,219469,217796,221183,Null,191
217572,219469,217605,218127,217796,191
217572,219469,217796,221183,218127,191
217572,221183,218127,217605,219469,191
217572,219978,221183,217605,217796,190
219469,217605,218117,Null,Null,190
219469,218491,221183,219978,217605,190
217796,221183,217605,Null,Null,189
219469,219978,217796,217605,Null,189
219469,218491,219978,217605,221141,189
219978,217572,217605,219469,Null,189
219978,218127,221183,217796,Null,188
219978,217572,221183,217605,Null,188
217796,217605,221183,Null,Null,188
219978,217605,217572,219469,217796,188
219469,219978,217572,217605,217796,188
217796,219978,217605,221183,Null,187
219469,221183,217605,Null,Null,187
219978,217796,218127,221183,Null,187
219469,219978,217605,217572,221183,187
219978,219469,221183,217796,217572,187
217572,219469,219978,218127,217605,187
219978,217572,217796,221183,217605,186
219469,219978,218491,217796,217572,186
217572,219978,217605,221183,Null,186
219978,217572,221183,218127,Null,186
219978,217572,217605,219469,221183,186
219978,217796,219469,217605,221183,186
217605,219978,219469,221183,218491,186
217572,219469,221183,219978,217605,186
219978,217572,217605,221183,219469,185
217796,219978,217572,221183,217605,185
217572,217796,219469,217605,221183,184
221183,219978,217796,Null,Null,184
217605,221183,217796,Null,Null,184
219978,217796,217605,219469,217572,184
219469,219978,218491,217572,217605,184
219469,219978,217796,217605,218491,184
217796,217572,219978,218127,217605,184
217572,219978,217605,217796,221183,184
219978,217572,219469,217605,Null,184
