CandidacyID,DefaultBallotName
219449,Brandon West
219451,Eliza Orlins
219454,Alec Brook-Krasny
219456,Harriet L. Hines
219457,Lutchi Gayot
219458,Julie Menin
219462,Esther Yang
219463,Justin M. Krebs
219465,Joann Ariola
219469,Maya D. Wiley
219472,Susan Lee
219474,John-Alexander Sakelos
219478,Shahana K. Hanif
219487,Juan D. Ardila
219498,Nick Velkov
219500,Emily E. Sharpe
219503,Robert F. Holden
219505,Badrun Khan
219506,Hailing Chen
219507,Jason Myles Clark
219508,James G. Van Bramer
219509,George Onuorah
219510,Linda Lee
219513,Edwin K. Raymond
219518,Alexa Aviles
219521,Lola Waterman
219526,R. Dimple Willabus
219533,Tahirah A. Moore
219539,Chi A. Osse
219548,James F. Reilly
219549,Timothy Rosen
219567,Cordell Cleare
219615,Fatima Baryab
219616,Lena Melendez
219626,Christopher Marte
219636,Rita C. Joseph
219638,Darlene Mealy
219667,Fernando Mateo
219669,Mario Rosser
219676,Stacy R. Lynch
219684,Maria Ordonez
219690,Luis Ordonez
219722,Summer Sullivan Walker
219741,Francoise Olivas
219744,Eric Kun
219753,Aruna Hekinian
219759,Steven Thomas Hasty
219762,Julie Torres Moskovitz
219765,Michele Kaufman
219767,Joel Gross
219769,John-Alexander Sakelos
219771,Kevin Lacherra
219775,Lisa Marie Bloodgood
219778,Jack J. Drury
219779,Marcos Masri
219781,Andano Ocana
219782,Waleska Layes
219783,Stefano Forte
219784,Jessica Baker-Vodoor
219786,Meilin Tan
219788,Elana Ehrenberg
219789,Daeha Ko
219796,Christopher Durosinmi
219803,Elizabeth Pepin
219805,Paloma Lara
219808,Zuri S. Jackson
219810,Andrea Kornbluth
219812,Lyana Fernandez
219814,Jasinta Delacruz
219815,Carole Mulligan
219816,Yodalis Moran
219817,Ruby Palma
219818,Edwin Rosario
219819,Carolyn Murtaugh
219820,Edda Santiago
219821,Angela West
219822,Patricia Anderton
219825,Dorca Reynoso
219827,Dylan Hayre
219829,Dana Hockenbury
219830,Andrea Kornbluth
219832,Graham Ciraulo
219834,Gabrielle Shatan
219835,Moumita Ahmed
219836,Laura Daigen-Ayala
219837,Nicholas Lyndon
219838,Paul Stewart-Stand
219839,Nicole Castronova
219840,Philip Simpson
219841,Gail Sullivan
219851,Denise M. Keehan-Smith
219857,Shaeleigh Severino
219859,Yael Leopold
219861,Ming-Kang Low
219879,James F. Reilly
219880,Donna M. Caltabiano
219897,Adriana Aviles
219905,Robert Perkins
219908,Jasmine L. Robinson
219968,Ariel Rivera-Diaz
219978,Kathryn A. Garcia
219991,Phelan D. Fitzpatrick
220106,Elizabeth S. Crowley
220190,Avi Cyperstein
220197,David Aronov
220203,Catherina Gioino
220212,Mark S. Murphy
220308,Daniel P. Lavelle
220313,Shahana S. Masum
220323,Gena M. Watson
220366,Renee T. Collymore
220381,Kathleen Sforza
220417,Tahanie Aboushi
220418,Kaled A. Alamarie
220431,Ischia J. Bravo
220445,Nancy J. Martinez
220448,Rick Echevarria
220449,Adolfo Abreu
220453,Lillithe Lozano
220463,Marni Halasa
220527,John Ruiz
220530,Melissa Mark-Viverito
220757,Diana J. Florence
220766,Silvia Smith
220769,Marco A. Tamayo
220775,Zachary Tov Weiner
220782,Manuel Onativia
220786,Theresa Rowell
220794,Manuel Onativia
220798,Jackeline Deluna
220804,Josue Perez
220856,Norma Campusano
220869,Luis M. Johnson
220981,Alex Pan
221049,Melba Espaillat
221050,Jenny Garcia
221052,Dale Nelson
221055,Antonio L. Hasbun
221056,John B. Albin
221057,Lara Bienvenido
221058,Wendell Foster
221061,Laurie D. Tobias-Cohen
221062,Orlando R. Ovalles
221063,Migdalia Berroa
221065,Miguel Regalado
221067,Luz M. Batista
221069,Richard L. Allman
221072,Roberto A. Delarosa
221073,Julia Guzman
221075,Adriano M. Casimiro
221078,Margarita Casimiro
221079,Charlie Hilario
221081,Elizabeth Rodriguez
221084,Antonio Abreu
221085,Carmen Perez
221086,Elizabeth Veras
221087,Julio C. Negron
221088,Rafaelina Garcia
221089,Altagracia Valiente
221117,Pierre A. Gooding
221140,Steven B. Raga
221141,Art Chang
221144,Ellen Young
221148,Ruben Wills
221149,Robert Ramos Jr.
221150,Leslie Boghosian Murphy
221151,Yu Lin
221152,Nicole S. Lee
221153,Lorraine A. Honor
221161,Mamnun M. Haq
221164,Robert A. Elstein
221180,Ranti Ogunleye
221183,Shaun Donovan
221204,Nathalia Fernandez
221205,Alex Amoroso
221228,Angelo King
221239,Tamika Mapp
221247,Cyril F. Joseph
221248,Amoy Barnes
221252,Francia Rodriguez
221254,Joseph R. Concannon
221256,Charles Finkelstein
221257,Trisha N. Ocona
221259,Catherine Washell
221262,Keith Taylor
221266,Sammy Ravelo
221268,Amanda Farias
